"","X.5.30.","NO3test5to30modes","NO3test5to30stdevs","X.5.30..1","TNtest5to30modes","TNtest5to30stdevs","X.5.30..2","SRPtest5to30modes","SRPtest5to30stdevs","X.5.30..3","TPtest5to30modes","TPtest5to30stdevs","X.5.30..4","TSStest5to30modes","TSStest5to30stdevs","X.5.30..5","Cltest5to30modes","Cltest5to30stdevs","X.5.30..6","SO4test5to30modes","SO4test5to30stdevs"
"folds.5",5,0.4,0.0952976004580453,5,0.2,0.122823915772598,5,0.25,0.125604659994146,5,0.5,0.110656667034498,5,0.5,0.11773370158878,5,0.6,0.158770788450855,5,0.45,0.193583289040966
"folds.6",6,0.25,0.107399692166929,6,0.3,0.103711727634726,6,0.55,0.122811453298235,6,0.5,0.0980628702956029,6,0.55,0.087854239208696,6,0.65,0.185574122932161,6,0.55,0.185483372927745
"folds.7",7,0.25,0.0948898394595178,7,0.35,0.108796758655199,7,0.55,0.121843827776982,7,0.55,0.118666055184544,7,0.6,0.101800124293256,7,0.65,0.181276651805454,7,0.55,0.13907860059282
"folds.8",8,0.25,0.094593652977742,8,0.25,0.109455983138876,8,0.55,0.125067328806103,8,0.55,0.105583896422103,8,0.55,0.0971218464673345,8,0.65,0.184269102241304,8,0.5,0.135620268186054
"folds.9",9,0.2,0.085690472882679,9,0.35,0.101015254455221,9,0.5,0.124232336649472,9,0.55,0.124625971021538,9,0.6,0.0955328771274314,9,0.7,0.161071032625424,9,0.55,0.154355143108617
"folds.10",10,0.2,0.0895624283470953,10,0.3,0.0891055324790069,10,0.25,0.123820970166855,10,0.55,0.127875098499773,10,0.55,0.0903507902905251,10,0.75,0.183138734074382,10,0.6,0.120051009566597
"folds.11",11,0.25,0.0864551316922157,11,0.35,0.0860943952761107,11,0.5,0.109642275475423,11,0.55,0.109376712814577,11,0.55,0.11088236090192,11,0.65,0.156152724822168,11,0.6,0.137488403963715
"folds.12",12,0.25,0.0877205674809715,12,0.3,0.0983745445753533,12,0.55,0.132864823126702,12,0.55,0.115974135047432,12,0.55,0.0846601850858803,12,0.7,0.196769833427126,12,0.55,0.0998774759597059
"folds.13",13,0.25,0.0769309258162072,13,0.25,0.0902886527550751,13,0.25,0.134274315625643,13,0.55,0.100757336290349,13,0.5,0.0796932896056077,13,0.7,0.165273428361757,13,0.6,0.125197802680072
"folds.14",14,0.35,0.0829863524555547,14,0.25,0.0943073568234229,14,0.5,0.11867035460141,14,0.5,0.126446729930845,14,0.55,0.0786428247048071,14,0.7,0.195092861196395,14,0.55,0.132956951756605
"folds.15",15,0.25,0.0713141941391354,15,0.3,0.0964100511315271,15,0.5,0.111684687346812,15,0.55,0.107380688416949,15,0.55,0.077729252760424,15,0.8,0.169058014435572,15,0.5,0.0886635465667594
"folds.16",16,0.3,0.0761577310586391,16,0.3,0.0924496553563625,16,0.5,0.119202280487705,16,0.55,0.117234284878701,16,0.55,0.074429805309213,16,0.75,0.168728740157396,16,0.55,0.101765035493433
"folds.17",17,0.3,0.0850929863533453,17,0.3,0.084158499637437,17,0.55,0.116710875977471,17,0.6,0.108777998976008,17,0.6,0.0727309832077592,17,0.6,0.165541782135668,17,0.6,0.108909248871691
"folds.18",18,0.2,0.0754307358996805,18,0.3,0.0732691432114419,18,0.55,0.124539969815448,18,0.55,0.112866184086307,18,0.6,0.0650666847886671,18,0.85,0.18308300782733,18,0.55,0.107004672795163
"folds.19",19,0.25,0.0560702911622582,19,0.3,0.0981668716720542,19,0.5,0.104490991702341,19,0.6,0.101765035493433,19,0.55,0.0796420563700935,19,0.7,0.153476714979232,19,0.6,0.112979138403007
"folds.20",20,0.2,0.0769309258162072,20,0.25,0.0892371296385224,20,0.55,0.120948631362953,20,0.6,0.0872540274492957,20,0.6,0.0729551161988783,20,0.6,0.166598625567009,20,0.55,0.101644639076841
"folds.21",21,0.25,0.0689646463702932,21,0.25,0.0957036241396813,21,0.55,0.118235323980335,21,0.55,0.0721676053732291,21,0.6,0.0646813224152673,21,0.65,0.137770142791891,21,0.5,0.0909361740733689
"folds.22",22,0.25,0.0707395337322283,22,0.25,0.0974993458900089,22,0.55,0.103947592761046,22,0.55,0.115709876459203,22,0.5,0.0840857191398475,22,0.7,0.138611923390892,22,0.6,0.0862424205483637
"folds.23",23,0.3,0.078252599878567,23,0.3,0.0887613171858745,23,0.55,0.135484768328324,23,0.55,0.1093627179693,23,0.55,0.0663094169444296,23,0.55,0.148378996258272,23,0.55,0.0993653329273097
"folds.24",24,0.3,0.0775912892228587,24,0.25,0.0893799502696443,24,0.4,0.101639619464547,24,0.55,0.0952119011597236,24,0.55,0.040770637693801,24,0.65,0.138906076034073,24,0.6,0.097331749125119
"folds.25",25,0.25,0.067943554003395,25,0.25,0.087458444942937,25,0.6,0.126817400467067,25,0.55,0.068332918532008,25,0.55,0.0718629648308899,25,0.35,0.181717991875952,25,0.55,0.086449230116613
"folds.26",26,0.25,0.0664247310717867,26,0.3,0.0940093351856124,26,0.55,0.107968249301093,26,0.55,0.104241673675226,26,0.55,0.0802801218184407,26,0.65,0.153277126640019,26,0.6,0.0868319982400921
"folds.27",27,0.25,0.0685788686439912,27,0.3,0.081447366252002,27,0.55,0.125474609188554,27,0.55,0.0987885806835456,27,0.55,0.0528860924583222,27,0.6,0.177292563468479,27,0.55,0.0844006480292367
"folds.28",28,0.25,0.0467734444106997,28,0.25,0.0773014243341068,28,0.6,0.128670596676084,28,0.6,0.12328828005938,28,0.6,0.0505177277431055,28,0.75,0.149952373391401,28,0.55,0.0610787380755199
"folds.29",29,0.3,0.0645312770235156,29,0.25,0.0840553753334609,29,0.55,0.140047368079955,29,0.55,0.0927141756547883,29,0.6,0.055705127452415,29,0.65,0.141150520324068,29,0.55,0.0992008887386127
"folds.30",30,0.25,0.0775912892228587,30,0.3,0.0846601850858803,30,0.55,0.112490362398977,30,0.6,0.0943344030130935,30,0.55,0.0476488002290226,30,0.7,0.155383002773857,30,0.6,0.096890428330361
