"","SRP.Date","SRP.Flow","SRP.concentrations.SRP","lnC","lnQ","Flow"
"1",2009-07-15,3.5,0.007,-4.96184512992682,1.25276296849537,3.5
"3",2009-07-29,3.2,0.004,-5.52146091786225,1.16315080980568,3.2
"5",2009-08-12,33,0.006,-5.11599580975408,3.49650756146648,33
"8",2009-08-26,36,0.003,-5.80914299031403,3.58351893845611,36
"11",2009-09-09,111,0.007,-4.96184512992682,4.70953020131233,111
"12",2009-09-09,111,0.013,-4.3428059215206,4.70953020131233,111
"16",2009-09-29,370,0.004,-5.52146091786225,5.91350300563827,370
"17",2009-10-07,150,0.011,-4.50986000618377,5.01063529409626,150
"20",2009-10-21,502,0.004,-5.52146091786225,6.21860011969173,502
"22",2009-11-04,797,0.0065,-5.03595310208055,6.68085467879022,797
"23",2009-11-18,564,0.005,-5.29831736654804,6.33505425149806,564
"24",2009-11-24,368,0.005,-5.29831736654804,5.90808293816893,368
"25",2009-12-16,188,0.003,-5.80914299031403,5.23644196282995,188
"26",2009-12-31,712,0.005,-5.29831736654804,6.56807791141198,712
"27",2010-01-06,386,0.006,-5.11599580975408,5.95583736946483,386
"28",2010-02-11,844,0.005,-5.29831736654804,6.73815249459596,844
"29",2010-02-17,529,0.003,-5.80914299031403,6.2709884318583,529
"30",2010-03-03,372,0.004,-5.52146091786225,5.91889385427315,372
"31",2010-03-10,309,0.008,-4.8283137373023,5.73334127689775,309
"33",2010-05-05,183,0.006,-5.11599580975408,5.20948615284142,183
"38",2010-05-17,2930,0.018,-4.01738352108597,7.98275770201111,2930
"39",2010-05-26,986,0.0085,-4.76768911548587,6.89365635460264,986
"40",2010-06-02,234,0.004,-5.52146091786225,5.4553211153577,234
"41",2010-06-09,116,0.008,-4.8283137373023,4.75359019110636,116
"42",2010-06-16,116,0.004,-5.52146091786225,4.75359019110636,116
"43",2010-06-24,46,0.009,-4.71053070164592,3.8286413964891,46
"46",2010-07-22,103,0.004,-5.52146091786225,4.63472898822964,103
"47",2010-07-28,61,0.003,-5.80914299031403,4.11087386417331,61
"48",2010-08-05,9.3,0.007,-4.96184512992682,2.23001440015921,9.3
"49",2010-08-10,5,0.003,-5.80914299031403,1.6094379124341,5
"50",2010-08-19,1.5,0.005,-5.29831736654804,0.405465108108164,1.5
"51",2010-08-26,1.7,0.0065,-5.03595310208055,0.53062825106217,1.7
"54",2010-09-16,502,0.01,-4.60517018598809,6.21860011969173,502
"55",2010-09-29,56,0.004,-5.52146091786225,4.02535169073515,56
"56",2010-10-06,18,0.013,-4.3428059215206,2.89037175789616,18
"57",2010-10-14,13,0.004,-5.52146091786225,2.56494935746154,13
"58",2010-10-27,32,0.008,-4.8283137373023,3.46573590279973,32
"59",2010-11-02,21,0.006,-5.11599580975408,3.04452243772342,21
"60",2010-11-10,21,0.005,-5.29831736654804,3.04452243772342,21
"61",2010-11-17,22,0.007,-4.96184512992682,3.09104245335832,22
"62",2010-11-30,249,0.008,-4.8283137373023,5.51745289646471,249
"63",2010-12-07,114,0.004,-5.52146091786225,4.7361984483945,114
"64",2010-12-14,61,0.003,-5.80914299031403,4.11087386417331,61
"65",2010-12-19,46,0.009,-4.71053070164592,3.8286413964891,46
"66",2011-01-05,222,0.004,-5.52146091786225,5.40267738187228,222
"67",2011-01-11,111,0.006,-5.11599580975408,4.70953020131233,111
"68",2011-01-25,56,0.005,-5.29831736654804,4.02535169073515,56
"74",2011-03-04,685,0.014,-4.26869794936688,6.52941883826223,685
"76",2011-03-29,400,0.004,-5.52146091786225,5.99146454710798,400
"77",2011-04-06,580,0.007,-4.96184512992682,6.36302810354046,580
"79",2011-04-22,1130,0.009,-4.71053070164592,7.02997291170639,1130
"83",2011-05-12,708,0.005,-5.29831736654804,6.56244409369372,708
"84",2011-05-19,579,0.003,-5.80914299031403,6.361302477573,579
"86",2011-06-15,92,0.01,-4.60517018598809,4.52178857704904,92
"87",2011-08-18,13,0.005,-5.29831736654804,2.56494935746154,13
"88",2011-09-01,1.9,0.003,-5.80914299031403,0.641853886172395,1.9
"89",2011-09-16,0.82,0.005,-5.29831736654804,-0.198450938723838,0.82
"91",2011-09-30,3.3,0.003,-5.80914299031403,1.19392246847243,3.3
"95",2011-11-17,215,0.008,-4.8283137373023,5.37063802812766,215
"96",2011-12-01,377,0.008,-4.8283137373023,5.93224518744801,377
"97",2011-12-08,693,0.003,-5.80914299031403,6.5410299991899,693
"99",2012-01-05,177,0.012,-4.42284862919414,5.17614973257383,177
"102",2012-02-02,582,0.0025,-5.99146454710798,6.36647044773144,582
"105",2012-03-01,266,0.005,-5.29831736654804,5.5834963087817,266
"108",2012-04-12,189,0.004,-5.52146091786225,5.24174701505964,189
"109",2012-05-10,21,0.004,-5.52146091786225,3.04452243772342,21
"110",2012-05-16,10,0.004,-5.52146091786225,2.30258509299405,10
"113",2012-06-14,2.4,0.003,-5.80914299031403,0.8754687373539,2.4
"114",2012-06-28,0.36,0.006,-5.11599580975408,-1.02165124753198,0.36
"115",2012-08-15,1.2,0.004,-5.52146091786225,0.182321556793955,1.2
"116",2012-08-20,1.2,0.005,-5.29831736654804,0.182321556793955,1.2
"117",2012-08-29,2.1,0.007,-4.96184512992682,0.741937344729377,2.1
"118",2012-09-05,0.14,0.003,-5.80914299031403,-1.96611285637283,0.14
"119",2012-09-11,0.63,0.005,-5.29831736654804,-0.462035459596559,0.63
"121",2012-10-09,1.6,0.005,-5.29831736654804,0.470003629245736,1.6
"122",2012-10-15,15,0.025,-3.68887945411394,2.70805020110221,15
"123",2012-10-31,9.4,0.01,-4.60517018598809,2.24070968927596,9.4
"124",2012-11-07,6.7,0.006,-5.11599580975408,1.90210752639692,6.7
"125",2012-11-14,7.6,0.007,-4.96184512992682,2.02814824729229,7.6
"126",2012-12-05,17,0.005,-5.29831736654804,2.83321334405622,17
"127",2012-12-12,7.4,0.005,-5.29831736654804,2.00148000021012,7.4
"131",2013-03-19,414,0.003,-5.80914299031403,6.02586597382531,414
"136",2013-04-24,610,0.005,-5.29831736654804,6.41345895716736,610
"141",2013-05-30,546,0.005,-5.29831736654804,6.30261897574491,546
"142",2013-06-06,762,0.005,-5.29831736654804,6.63594655568665,762
"143",2013-06-25,34,0.003,-5.80914299031403,3.52636052461616,34
"144",2013-07-19,4.7,0.006,-5.11599580975408,1.54756250871601,4.7
"146",2013-08-07,14,0.006,-5.11599580975408,2.63905732961526,14
"149",2013-08-20,141,0.003,-5.80914299031403,4.94875989037817,141
"150",2013-09-04,2.2,0.011,-4.50986000618377,0.78845736036427,2.2
"151",2013-09-11,0.01,0.006,-5.11599580975408,-4.60517018598809,0.01
"154",2013-10-02,0.61,0.007,-4.96184512992682,-0.49429632181478,0.61
"156",2013-10-24,54,0.006,-5.11599580975408,3.98898404656427,54
"157",2013-10-30,38,0.003,-5.80914299031403,3.63758615972639,38
"158",2013-11-13,170,0.005,-5.29831736654804,5.13579843705026,170
"160",2013-12-12,99,0.006,-5.11599580975408,4.59511985013459,99
"163",2014-01-09,374,0.014,-4.26869794936688,5.92425579741453,374
"165",2014-01-22,290,0.005,-5.29831736654804,5.66988092298052,290
"166",2014-01-28,162,0.0055,-5.20300718674371,5.08759633523238,162
"167",2014-02-06,140,0.007,-4.96184512992682,4.9416424226093,140
"168",2014-02-12,108,0.007,-4.96184512992682,4.68213122712422,108
"169",2014-02-21,155,0.004,-5.52146091786225,5.04342511691925,155
"170",2014-02-25,129,0.003,-5.80914299031403,4.85981240436167,129
"172",2014-03-11,415,0.006,-5.11599580975408,6.0282785202307,415
"174",2014-03-27,489,0.007,-4.96184512992682,6.19236248947487,489
"175",2014-04-03,793,0.006,-5.11599580975408,6.67582322163485,793
"178",2014-04-14,1400,0.007,-4.96184512992682,7.24422751560335,1400
"179",2014-04-22,521,0.005,-5.29831736654804,6.25575004175337,521
"180",2014-04-28,442,0.003,-5.80914299031403,6.0913098820777,442
"183",2014-05-20,539,0.003,-5.80914299031403,6.289715570909,539
"184",2014-05-28,193,0.003,-5.80914299031403,5.26269018890489,193
"186",2014-07-01,117,0.007,-4.96184512992682,4.76217393479776,117
"187",2014-07-09,32,0.005,-5.29831736654804,3.46573590279973,32
"188",2014-07-23,38,0.005,-5.29831736654804,3.63758615972639,38
"189",2014-07-29,12,0.006,-5.11599580975408,2.484906649788,12
"190",2014-08-05,15,0.004,-5.52146091786225,2.70805020110221,15
"191",2014-08-12,303,0.007,-4.96184512992682,5.71373280550937,303
"192",2014-08-19,49,0.005,-5.29831736654804,3.89182029811063,49
"193",2014-08-27,13,0.007,-4.96184512992682,2.56494935746154,13
"195",2014-09-10,21,0.004,-5.52146091786225,3.04452243772342,21
"197",2014-09-24,29,0.004,-5.52146091786225,3.36729582998647,29
"198",2014-10-01,20,0.005,-5.29831736654804,2.99573227355399,20
"200",2014-10-08,19,0.005,-5.29831736654804,2.94443897916644,19
"203",2014-10-22,255,0.003,-5.80914299031403,5.54126354515843,255
"204",2014-10-29,96,0.003,-5.80914299031403,4.56434819146784,96
"206",2014-11-12,176,0.005,-5.29831736654804,5.17048399503815,176
"207",2014-11-19,62,0.004,-5.52146091786225,4.12713438504509,62
"208",2014-12-05,181,0.005,-5.29831736654804,5.19849703126583,181
"209",2014-12-10,290,0.007,-4.96184512992682,5.66988092298052,290
"2",2015-01-07,687,0.004,-5.52146091786225,6.53233429222235,687
"32",2015-01-14,276,0.0035,-5.65499231048677,5.62040086571715,276
"4",2015-01-21,146,0.003,-5.80914299031403,4.98360662170834,146
"52",2015-01-28,85,0.004,-5.52146091786225,4.44265125649032,85
"6",2015-02-11,87,0.005,-5.29831736654804,4.46590811865458,87
"7",2015-02-25,298,0.007,-4.96184512992682,5.6970934865054,298
"81",2015-03-05,1910,0.011,-4.50986000618377,7.55485852104068,1910
"128",2015-03-26,3560,0.036,-3.32423634052603,8.17751582384608,3560
"14",2015-04-13,385,0.004,-5.52146091786225,5.95324333428778,385
"15",2015-04-22,578,0.0075,-4.89285225843987,6.35957386867238,578
"161",2015-04-24,583,0.012,-4.42284862919414,6.36818718635049,583
"18",2015-05-11,13300,0.015,-4.19970507787993,9.49551931420985,13300
